数据库类型		数据名称				描述对象	数据性质	提示词内容	数据描述	应用	可组合结构	数据来源	时效周期	应用类型标签
商业数据库	企业数据库	上市公司数据库			ESG数据	供给端	定量数据	"1、查询xx上市公司的ESG数据
2、对比xx公司与xx公司的ESG数据
3、查询xx行业上市公司ESG数据排名"	企业层面的ESG数据，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	Wind,同花顺,东方财富,巨潮资讯,SEC/港交所/上交所/深交所	季/年	企业
商业数据库	企业数据库	品牌数据库			销售历史	供给端	定量数据	"1、查询xx品牌的销售历史数据
2、对比xx品牌与xx品牌的销售历史数据
3、查询xx行业品牌的销售历史排名"	企业层面的销售历史，用于企业分析和决策		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			市场份额	供给端	定量数据	"1、查询xx品牌的市场份额数据
2、对比xx品牌与xx品牌的市场份额数据
3、查询xx行业品牌的市场份额排名"	企业层面的市场份额，用于企业分析和决策		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			广告支出	供给端	定量数据	"1、查询xx品牌的广告支出数据
2、对比xx品牌与xx品牌的广告支出数据
3、查询xx行业品牌的广告支出排名"	企业层面的广告支出，用于企业分析和决策		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			广告投放渠道	供给端	定量数据	"1、查询xx品牌的广告投放渠道数据
2、对比xx品牌与xx品牌的广告投放渠道数据
3、查询xx行业品牌的广告投放渠道排名"	企业层面的广告投放渠道，用于企业分析和决策		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			产品发布	供给端	定性/定量	"1、查询xx品牌的产品发布数据
2、对比xx品牌与xx品牌的产品发布数据
3、查询xx行业品牌的产品发布排名"	定量数据，例如发布的产品数量；定性数据，例如产品类型和特性		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			创新历史	供给端	定性/定量	"1、查询xx品牌的创新历史数据
2、对比xx品牌与xx品牌的创新历史数据
3、查询xx行业品牌的创新历史排名"	企业层面的创新历史，用于企业分析和决策		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			投融资数据	供给端	定量数据	"1、查询xx品牌的投融资数据数据
2、对比xx品牌与xx品牌的投融资数据数据
3、查询xx行业品牌的投融资数据排名"	企业层面的投融资数据，用于企业分析和决策		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			品牌形象	消费端	定性数据	"1、查询xx品牌的品牌形象数据
2、对比xx品牌与xx品牌的品牌形象数据
3、查询xx行业品牌的品牌形象排名"	企业层面的品牌形象，用于企业分析和决策		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			品牌忠诚度	消费端	定性/定量	"1、查询xx品牌的品牌忠诚度数据
2、对比xx品牌与xx品牌的品牌忠诚度数据
3、查询xx行业品牌的品牌忠诚度排名"	定量数据，例如重复购买率；定性数据，例如消费者对品牌的情感认同		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			品牌表现	消费端	定性/定量	"1、查询xx品牌的品牌表现数据
2、对比xx品牌与xx品牌的品牌表现数据
3、查询xx行业品牌的品牌表现排名"	定量数据，例如市场份额、销售额等；定性数据，例如品牌声誉、消费者满意度等		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			品牌触点	消费端	定性数据	"1、查询xx品牌的品牌触点数据
2、对比xx品牌与xx品牌的品牌触点数据
3、查询xx行业品牌的品牌触点排名"	企业层面的品牌触点，用于企业分析和决策		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			品牌竞争情况	消费端	定性/定量	"1、查询xx品牌的品牌竞争情况数据
2、对比xx品牌与xx品牌的品牌竞争情况数据
3、查询xx行业品牌的品牌竞争情况排名"	定量数据，例如市场份额、销售额等；定性数据，例如竞争策略、竞争优势等		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			品牌业务表现	供给端	定性/定量	"1、查询xx品牌的品牌业务表现数据
2、对比xx品牌与xx品牌的品牌业务表现数据
3、查询xx行业品牌的品牌业务表现排名"	定量数据，例如销售额、利润等；定性数据，例如业务策略、业务模式等		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	品牌数据库			品牌认知度度	消费端	定量数据	"1、查询xx品牌的品牌认知度度数据
2、对比xx品牌与xx品牌的品牌认知度度数据
3、查询xx行业品牌的品牌认知度度排名"	企业层面的品牌认知度度，用于企业分析和决策		行业-品牌,品牌vs品牌,品牌-时间序列,品牌-地区	Brandz,Interbrand,尼尔森,凯度,欧睿Euromonitor	年	品牌
商业数据库	企业数据库	非上市企业数据库			基本信息	供给端	定性数据	"1、查询xx企业的基本信息
2、查询xx行业企业的基本信息概况"	企业层面的基本信息，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	企查查,天眼查,启信宝,国家企业信用信息公示系统	年	企业
商业数据库	企业数据库	非上市企业数据库			财务信息	供给端	定量数据	"1、查询xx企业的财务信息
2、查询xx行业企业的财务信息概况"	企业层面的财务信息，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	企查查,天眼查,启信宝,国家企业信用信息公示系统	年	企业
商业数据库	企业数据库	非上市企业数据库			人员信息	供给端	定量数据	"1、查询xx企业的人员信息
2、查询xx行业企业的人员信息概况"	企业层面的人员信息，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	企查查,天眼查,启信宝,国家企业信用信息公示系统	年	企业
商业数据库	企业数据库	非上市企业数据库			业务信息	供给端	定性数据	"1、查询xx企业的业务信息
2、查询xx行业企业的业务信息概况"	企业层面的业务信息，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	企查查,天眼查,启信宝,国家企业信用信息公示系统	年	企业
商业数据库	企业数据库	非上市企业数据库			法律信息	供给端	定性数据	"1、查询xx企业的法律信息
2、查询xx行业企业的法律信息概况"	企业层面的法律信息，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	企查查,天眼查,启信宝,国家企业信用信息公示系统	年	企业
商业数据库	企业数据库	非上市企业数据库			信用和风险信息	供给端	定性/定量	"1、查询xx企业的信用和风险信息
2、查询xx行业企业的信用和风险信息概况"	企业层面的信用和风险信息，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	企查查,天眼查,启信宝,国家企业信用信息公示系统	年	企业
商业数据库	"微观数据
（所有权数据库）"	销售数据			总销售额	消费端	定量数据	"1、查询企业的总销售额
2、按产品线/渠道/地区查询总销售额
3、查询总销售额的时间趋势"	企业微观运营中的总销售额，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业ERP/CRM系统,第三方电商平台,尼尔森零售监测	日/月	销售
商业数据库	"微观数据
（所有权数据库）"	销售数据			销售增长率	消费端	定量数据	"1、查询企业的销售增长率
2、按产品线/渠道/地区查询销售增长率
3、查询销售增长率的时间趋势"	企业微观运营中的销售增长率，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业ERP/CRM系统,第三方电商平台,尼尔森零售监测	日/月	销售
商业数据库	"微观数据
（所有权数据库）"	销售数据			单位销售价格	消费端	定量数据	"1、查询企业的单位销售价格
2、按产品线/渠道/地区查询单位销售价格
3、查询单位销售价格的时间趋势"	企业微观运营中的单位销售价格，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业ERP/CRM系统,第三方电商平台,尼尔森零售监测	日/月	销售
商业数据库	"微观数据
（所有权数据库）"	销售数据			销售量	消费端	定量数据	"1、查询企业的销售量
2、按产品线/渠道/地区查询销售量
3、查询销售量的时间趋势"	企业微观运营中的销售量，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业ERP/CRM系统,第三方电商平台,尼尔森零售监测	日/月	销售
商业数据库	"微观数据
（所有权数据库）"	销售数据			按地区、产品线、渠道等细分的销售数据	消费端	定量数据	"1、查询企业的按地区、产品线、渠道等细分的销售数据
2、按产品线/渠道/地区查询按地区、产品线、渠道等细分的销售数据
3、查询按地区、产品线、渠道等细分的销售数据的时间趋势"	企业微观运营中的按地区、产品线、渠道等细分的销售数据，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业ERP/CRM系统,第三方电商平台,尼尔森零售监测	日/月	销售
商业数据库	"微观数据
（所有权数据库）"	客户数据			客户数量	消费端	定量数据	"1、查询企业的客户数量
2、按产品线/渠道/地区查询客户数量
3、查询客户数量的时间趋势"	企业微观运营中的客户数量，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业CRM系统,第三方数据平台,问卷调研	日/月	客户
商业数据库	"微观数据
（所有权数据库）"	客户数据			新增客户数量	消费端	定量数据	"1、查询企业的新增客户数量
2、按产品线/渠道/地区查询新增客户数量
3、查询新增客户数量的时间趋势"	企业微观运营中的新增客户数量，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业CRM系统,第三方数据平台,问卷调研	日/月	客户
商业数据库	"微观数据
（所有权数据库）"	客户数据			客户流失率	消费端	定量数据	"1、查询企业的客户流失率
2、按产品线/渠道/地区查询客户流失率
3、查询客户流失率的时间趋势"	企业微观运营中的客户流失率，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业CRM系统,第三方数据平台,问卷调研	日/月	客户
商业数据库	"微观数据
（所有权数据库）"	客户数据			客户细分数据	消费端	定量数据	"1、查询企业的客户细分数据
2、按产品线/渠道/地区查询客户细分数据
3、查询客户细分数据的时间趋势"	企业微观运营中的客户细分数据，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业CRM系统,第三方数据平台,问卷调研	日/月	客户
商业数据库	"微观数据
（所有权数据库）"	客户数据			客户满意度	消费端	定量数据	"1、查询企业的客户满意度
2、按产品线/渠道/地区查询客户满意度
3、查询客户满意度的时间趋势"	企业微观运营中的客户满意度，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业CRM系统,第三方数据平台,问卷调研	日/月	客户
商业数据库	"微观数据
（所有权数据库）"	客户数据			客户购买行为	消费端	定量数据	"1、查询企业的客户购买行为
2、按产品线/渠道/地区查询客户购买行为
3、查询客户购买行为的时间趋势"	企业微观运营中的客户购买行为，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业CRM系统,第三方数据平台,问卷调研	日/月	客户
商业数据库	"微观数据
（所有权数据库）"	客户数据			客户生命周期价值	消费端	定量数据	"1、查询企业的客户生命周期价值
2、按产品线/渠道/地区查询客户生命周期价值
3、查询客户生命周期价值的时间趋势"	企业微观运营中的客户生命周期价值，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业CRM系统,第三方数据平台,问卷调研	日/月	客户
商业数据库	"微观数据
（所有权数据库）"	市场数据			市场规模	消费端	定量数据	"1、查询企业的市场规模
2、按产品线/渠道/地区查询市场规模
3、查询市场规模的时间趋势"	企业微观运营中的市场规模，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	欧睿Euromonitor,弗若斯特沙利文,艾瑞咨询,IDC	日/月	市场
商业数据库	"微观数据
（所有权数据库）"	市场数据			市场增长率	消费端	定量数据	"1、查询企业的市场增长率
2、按产品线/渠道/地区查询市场增长率
3、查询市场增长率的时间趋势"	企业微观运营中的市场增长率，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	欧睿Euromonitor,弗若斯特沙利文,艾瑞咨询,IDC	日/月	市场
商业数据库	"微观数据
（所有权数据库）"	市场数据			市场份额	消费端	定量数据	"1、查询企业的市场份额
2、按产品线/渠道/地区查询市场份额
3、查询市场份额的时间趋势"	企业微观运营中的市场份额，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	欧睿Euromonitor,弗若斯特沙利文,艾瑞咨询,IDC	日/月	市场
商业数据库	"微观数据
（所有权数据库）"	市场数据			竞争对手情况	消费端	定性/定量	"1、查询企业的竞争对手情况
2、按产品线/渠道/地区查询竞争对手情况
3、查询竞争对手情况的时间趋势"	企业微观运营中的竞争对手情况，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	欧睿Euromonitor,弗若斯特沙利文,艾瑞咨询,IDC	日/月	市场
商业数据库	"微观数据
（所有权数据库）"	市场数据			行业趋势	消费端	定性数据	"1、查询企业的行业趋势
2、按产品线/渠道/地区查询行业趋势
3、查询行业趋势的时间趋势"	企业微观运营中的行业趋势，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	欧睿Euromonitor,弗若斯特沙利文,艾瑞咨询,IDC	日/月	市场
商业数据库	"微观数据
（所有权数据库）"	市场数据			消费者偏好	消费端	定性数据	"1、查询企业的消费者偏好
2、按产品线/渠道/地区查询消费者偏好
3、查询消费者偏好的时间趋势"	企业微观运营中的消费者偏好，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	欧睿Euromonitor,弗若斯特沙利文,艾瑞咨询,IDC	日/月	市场
商业数据库	"微观数据
（所有权数据库）"	财务数据			营收	供给端	定量数据	"1、查询企业的营收
2、按产品线/渠道/地区查询营收
3、查询营收的时间趋势"	企业微观运营中的营收，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业财务系统,审计报告,Wind,同花顺	日/月	财务
商业数据库	"微观数据
（所有权数据库）"	财务数据			利润	供给端	定量数据	"1、查询企业的利润
2、按产品线/渠道/地区查询利润
3、查询利润的时间趋势"	企业微观运营中的利润，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业财务系统,审计报告,Wind,同花顺	日/月	财务
商业数据库	"微观数据
（所有权数据库）"	财务数据			毛利率	供给端	定量数据	"1、查询企业的毛利率
2、按产品线/渠道/地区查询毛利率
3、查询毛利率的时间趋势"	企业微观运营中的毛利率，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业财务系统,审计报告,Wind,同花顺	日/月	财务
商业数据库	"微观数据
（所有权数据库）"	财务数据			净利率	供给端	定量数据	"1、查询企业的净利率
2、按产品线/渠道/地区查询净利率
3、查询净利率的时间趋势"	企业微观运营中的净利率，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业财务系统,审计报告,Wind,同花顺	日/月	财务
商业数据库	"微观数据
（所有权数据库）"	财务数据			EBITDA	供给端	定量数据	"1、查询企业的EBITDA
2、按产品线/渠道/地区查询EBITDA
3、查询EBITDA的时间趋势"	企业微观运营中的EBITDA，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业财务系统,审计报告,Wind,同花顺	日/月	财务
商业数据库	"微观数据
（所有权数据库）"	财务数据			现金流	供给端	定量数据	"1、查询企业的现金流
2、按产品线/渠道/地区查询现金流
3、查询现金流的时间趋势"	企业微观运营中的现金流，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业财务系统,审计报告,Wind,同花顺	日/月	财务
商业数据库	"微观数据
（所有权数据库）"	财务数据			负债和资本结构	供给端	定量数据	"1、查询企业的负债和资本结构
2、按产品线/渠道/地区查询负债和资本结构
3、查询负债和资本结构的时间趋势"	企业微观运营中的负债和资本结构，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业财务系统,审计报告,Wind,同花顺	日/月	财务
商业数据库	"微观数据
（所有权数据库）"	财务数据			成本结构	供给端	定量数据	"1、查询企业的成本结构
2、按产品线/渠道/地区查询成本结构
3、查询成本结构的时间趋势"	企业微观运营中的成本结构，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业财务系统,审计报告,Wind,同花顺	日/月	财务
商业数据库	"微观数据
（所有权数据库）"	运营数据			生产效率	供给端	定量数据	"1、查询企业的生产效率
2、按产品线/渠道/地区查询生产效率
3、查询生产效率的时间趋势"	企业微观运营中的生产效率，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业ERP/MES系统,供应链管理平台	日/月	运营
商业数据库	"微观数据
（所有权数据库）"	运营数据			库存水平	供给端	定量数据	"1、查询企业的库存水平
2、按产品线/渠道/地区查询库存水平
3、查询库存水平的时间趋势"	企业微观运营中的库存水平，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业ERP/MES系统,供应链管理平台	日/月	运营
商业数据库	"微观数据
（所有权数据库）"	运营数据			库存周转率	供给端	定量数据	"1、查询企业的库存周转率
2、按产品线/渠道/地区查询库存周转率
3、查询库存周转率的时间趋势"	企业微观运营中的库存周转率，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业ERP/MES系统,供应链管理平台	日/月	运营
商业数据库	"微观数据
（所有权数据库）"	运营数据			供应链效率	供给端	定量数据	"1、查询企业的供应链效率
2、按产品线/渠道/地区查询供应链效率
3、查询供应链效率的时间趋势"	企业微观运营中的供应链效率，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业ERP/MES系统,供应链管理平台	日/月	运营
商业数据库	"微观数据
（所有权数据库）"	运营数据			产品质量数据	供给端	定量数据	"1、查询企业的产品质量数据
2、按产品线/渠道/地区查询产品质量数据
3、查询产品质量数据的时间趋势"	企业微观运营中的产品质量数据，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业ERP/MES系统,供应链管理平台	日/月	运营
商业数据库	"微观数据
（所有权数据库）"	运营数据			员工绩效数据	供给端	定量数据	"1、查询企业的员工绩效数据
2、按产品线/渠道/地区查询员工绩效数据
3、查询员工绩效数据的时间趋势"	企业微观运营中的员工绩效数据，支撑精细化管理决策		企业内部-部门,产品线-渠道-地区,时间序列	企业ERP/MES系统,供应链管理平台	日/月	运营
社会数据库	政治数据	选举数据			选举日期	供给端	定量数据	"1、查询xx国家的选举日期
2、对比xx国家与xx国家的选举日期
3、查询选举日期的历史变化"	政治领域的选举日期，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	选举数据			选举人	供给端	定性数据	"1、查询xx国家的选举人
2、对比xx国家与xx国家的选举人
3、查询选举人的历史变化"	政治领域的选举人，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	选举数据			政党	供给端	定性数据	"1、查询xx国家的政党
2、对比xx国家与xx国家的政党
3、查询政党的历史变化"	政治领域的政党，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	选举数据			选民登记数量	供给端	定量数据	"1、查询xx国家的选民登记数量
2、对比xx国家与xx国家的选民登记数量
3、查询选民登记数量的历史变化"	政治领域的选民登记数量，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	选举数据			投票率	供给端	定量数据	"1、查询xx国家的投票率
2、对比xx国家与xx国家的投票率
3、查询投票率的历史变化"	政治领域的投票率，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	选举数据			选举结果	供给端	定性/定量	"1、查询xx国家的选举结果
2、对比xx国家与xx国家的选举结果
3、查询选举结果的历史变化"	政治领域的选举结果，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	立法数据			已通过法案	供给端	定性/定量	"1、查询xx国家的已通过法案
2、对比xx国家与xx国家的已通过法案
3、查询已通过法案的历史变化"	政治领域的已通过法案，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	立法数据			正在提案的法案	供给端	定性/定量	"1、查询xx国家的正在提案的法案
2、对比xx国家与xx国家的正在提案的法案
3、查询正在提案的法案的历史变化"	政治领域的正在提案的法案，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	立法数据			法律改革的提案	供给端	定性/定量	"1、查询xx国家的法律改革的提案
2、对比xx国家与xx国家的法律改革的提案
3、查询法律改革的提案的历史变化"	政治领域的法律改革的提案，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	立法数据			投票结果	供给端	定性/定量	"1、查询xx国家的投票结果
2、对比xx国家与xx国家的投票结果
3、查询投票结果的历史变化"	政治领域的投票结果，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政策数据			政策声明	供给端	定性数据	"1、查询xx国家的政策声明
2、对比xx国家与xx国家的政策声明
3、查询政策声明的历史变化"	政治领域的政策声明，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政策数据			政策改变	供给端	定性数据	"1、查询xx国家的政策改变
2、对比xx国家与xx国家的政策改变
3、查询政策改变的历史变化"	政治领域的政策改变，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政策数据			政策影响的评估	供给端	定性/定量	"1、查询xx国家的政策影响的评估
2、对比xx国家与xx国家的政策影响的评估
3、查询政策影响的评估的历史变化"	政治领域的政策影响的评估，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政党信息			政党成员数	供给端	定量数据	"1、查询xx国家的政党成员数
2、对比xx国家与xx国家的政党成员数
3、查询政党成员数的历史变化"	政治领域的政党成员数，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政党信息			领导人	供给端	定性数据	"1、查询xx国家的领导人
2、对比xx国家与xx国家的领导人
3、查询领导人的历史变化"	政治领域的领导人，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政党信息			政策立场	供给端	定性数据	"1、查询xx国家的政策立场
2、对比xx国家与xx国家的政策立场
3、查询政策立场的历史变化"	政治领域的政策立场，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政党信息			历史纪录	供给端	定性数据	"1、查询xx国家的历史纪录
2、对比xx国家与xx国家的历史纪录
3、查询历史纪录的历史变化"	政治领域的历史纪录，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	公共意见数据			民意调查结果	供给端	定性/定量	"1、查询xx国家的民意调查结果
2、对比xx国家与xx国家的民意调查结果
3、查询民意调查结果的历史变化"	政治领域的民意调查结果，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	公共意见数据			公众对于特定问题的观点	供给端	定性/定量	"1、查询xx国家的公众对于特定问题的观点
2、对比xx国家与xx国家的公众对于特定问题的观点
3、查询公众对于特定问题的观点的历史变化"	政治领域的公众对于特定问题的观点，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政府预算算和开支			政府收入来源	供给端	定量数据	"1、查询xx国家的政府收入来源
2、对比xx国家与xx国家的政府收入来源
3、查询政府收入来源的历史变化"	政治领域的政府收入来源，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政府预算算和开支			预算分配	供给端	定量数据	"1、查询xx国家的预算分配
2、对比xx国家与xx国家的预算分配
3、查询预算分配的历史变化"	政治领域的预算分配，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	政府预算算和开支			实际开支	供给端	定量数据	"1、查询xx国家的实际开支
2、对比xx国家与xx国家的实际开支
3、查询实际开支的历史变化"	政治领域的实际开支，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	国际关系数据			国际条约	供给端	定性/定量	"1、查询xx国家的国际条约
2、对比xx国家与xx国家的国际条约
3、查询国际条约的历史变化"	政治领域的国际条约，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	国际关系数据			外交关系	供给端	定性/定量	"1、查询xx国家的外交关系
2、对比xx国家与xx国家的外交关系
3、查询外交关系的历史变化"	政治领域的外交关系，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	国际关系数据			冲突和谈判	供给端	定性/定量	"1、查询xx国家的冲突和谈判
2、对比xx国家与xx国家的冲突和谈判
3、查询冲突和谈判的历史变化"	政治领域的冲突和谈判，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
社会数据库	政治数据	人权纪录			言论自由	供给端	定性数据	"1、查询xx国家的言论自由
2、对比xx国家与xx国家的言论自由
3、查询言论自由的历史变化"	政治领域的言论自由，反映政治生态和治理状况		全球-国家,国家vs国家,国家-时间序列	各国政府官网,世界银行治理指标,自由之家,透明国际,联合国人权理事会	年	政治
